GaiaEDR3,wdid_MWDD,obsid,Comments,quick_comp,RAJ2000,DEJ2000,Teff,e_Teff,logg,e_logg_low,e_logg_high,mass,e_mass_low,e_mass_high,logHHe,e_logHHe,logCaH(e),e_logCaH(e),age,e_age_low,e_age_high,Gmag,e_Gmag,TIC_Vmag,TIC_Vmag_err
1170323750017938048,SDSS J151451.36+123714.2,909114184,,He,228.71402,12.6206,14209.0,1635.0,8.03,-0.2,0.21,0.61,-0.11,0.13,-5.25,0.37,-7.78,1.21,0.25,-0.1,0.15,18.8701,0.004,18.9288,0.0463
120767475272843776,,679605061,,He,51.374966,29.674831,14838.0,1524.0,7.87,-0.15,0.16,0.52,-0.08,0.09,-5.47,0.42,-7.76,0.48,0.17,-0.06,0.08,18.5276,0.0037,18.5837,0.046
1249447115013660416,SDSS J134429.23+210451.1,660601141,,He,206.1218,21.080854,14928.0,2419.0,8.06,-0.24,0.26,0.62,-0.13,0.17,-3.35,0.6,-7.17,0.72,0.22,-0.11,0.19,18.9341,0.0033,18.9963,0.046
1250049235068679168,,558010064,marginally acceptable Ca detection,H,207.23596,20.34929,13340.25,229.34,7.8,-0.03,0.03,0.5,-0.01,0.01,,,-6.63,0.1,0.21,-0.02,0.02,17.2299,0.003,17.2736,0.0459
1411668854417599104,SDSS J162727.70+492507.9,743009135,H out of grid (extrapolation),He,246.86542000000003,49.418873,7609.0,297.0,7.9,-0.09,0.09,0.52,-0.05,0.05,-1.5,6.75,-9.67,0.17,1.11,-0.16,0.18,18.8935,0.0035,18.9646,0.0464
1480890365586927744,,901610055,,He,214.87847999999997,35.75912,9287.0,633.0,8.16,-0.11,0.11,0.68,-0.07,0.07,-4.34,0.16,-7.47,0.1,0.97,-0.21,0.23,17.7559,0.003,17.8035,0.0459
1565012935076040832,SDSS J133038.05+544524.4,564901178,,H,202.65865,54.756847,7462.04,28.75,8.09,-0.01,0.01,0.65,-0.01,0.01,,,-8.03,0.05,1.52,-0.02,0.02,16.7235,0.0028,16.642,1.133
1982029516212384384,,843010181,He too strong,He,338.0849,43.82332,11543.0,770.0,7.5,-0.11,0.12,0.34,-0.04,0.05,-5.33,0.12,-5.98,0.65,0.25,-0.05,0.06,17.1799,0.0029,17.2214,0.0459
200924312484080256,,302715031,,H,75.49809,41.054115,12665.43,215.35,7.73,-0.03,0.03,0.47,-0.01,0.01,,,-6.2,0.09,0.23,-0.01,0.01,17.524,0.0029,17.5784,0.0459
2564020159166337024,,472002174,He too strong,He,18.035772,4.9190674,13050.0,1346.0,7.68,-0.07,0.08,0.42,-0.03,0.04,-3.82,0.16,-5.69,0.59,0.2,-0.06,0.08,16.8236,0.0029,16.8707,0.0459
2759588063311504768,SDSS J234325.49+083725.2,355001148,,H,355.8564,8.623975999999999,6756.32,23.51,7.97,-0.01,0.01,0.58,-0.01,0.01,,,-8.72,0.05,1.64,-0.05,0.05,17.2716,0.0029,17.366,0.0459
321093335597030400,SDSS J011444.35+352434.2,201402181,probably a blend,He,18.68471,35.409546,11334.0,512.0,7.9,-0.12,0.12,0.53,-0.06,0.07,-5.0,0.47,-9.82,0.23,0.39,-0.07,0.09,18.7031,0.0036,18.7595,0.046
322324719900568448,LAMOST J012853.13+365250.1,284009139,,He,22.221188,36.88075,11997.0,864.0,7.95,-0.1,0.11,0.56,-0.06,0.06,-5.51,0.2,-9.27,0.15,0.36,-0.08,0.1,17.3203,0.003,17.3688,0.0459
3253852143823041792,,372704024,,He,64.630615,-2.3177845,14398.0,951.0,8.53,-0.08,0.08,0.93,-0.05,0.05,-4.86,0.25,-7.98,0.54,0.54,-0.11,0.12,17.17,0.0029,17.2165,0.0459
3351139990665573120,LAMOST J064558.40+111223.6,387301118,,He,101.49336,11.206481,12806.0,2617.0,7.65,-0.38,0.5,0.41,-0.13,0.27,-3.95,0.6,-9.58,0.38,0.2,-0.11,0.27,17.6464,0.0033,17.701,0.0459
337895423754978560,,679308095,,H,36.478653,39.779476,12643.46,176.16,8.03,-0.02,0.02,0.63,-0.01,0.01,,,-7.11,0.11,0.35,-0.02,0.02,16.9459,0.003,16.9903,0.0459
3433524747667276544,Gaia DR2 3433524747667276544,105809172,,He,95.04873,27.929771,7875.0,346.0,8.09,-0.08,0.08,0.63,-0.05,0.05,-4.0,0.26,-10.54,0.1,1.29,-0.17,0.23,17.3799,0.0031,17.4388,0.0459
3440707857129932672,Gaia DR2 3440707857129932672,185908034,,H,95.263725,35.0666,7898.84,67.18,7.96,-0.02,0.02,0.57,-0.01,0.01,,,-9.0,0.06,1.09,-0.04,0.04,17.1851,0.0031,17.2542,0.0459
3669065354086975872,WD 1428+048,812815099,,H,217.69965,4.6440654000000015,7728.46,58.42,8.03,-0.02,0.02,0.61,-0.01,0.01,,,-9.2,0.07,1.27,-0.05,0.05,17.0125,0.003,17.109,0.06
367949367212923392,Gaia DR2 367949367212923392,353915195,,H,12.300122,38.691803,9597.09,69.03,7.95,-0.02,0.02,0.57,-0.01,0.01,,,-7.94,0.06,0.66,-0.03,0.03,17.1333,0.003,17.1822,0.0459
3953420089189312256,SDSS J121257.44+221524.4,424811242,,H,183.23941,22.256739000000003,12059.48,178.14,8.29,-0.05,0.05,0.78,-0.03,0.03,,,-5.41,0.2,0.59,-0.05,0.05,18.5634,0.0033,18.6118,0.0459
4502205519647039616,Gaia DR2 4502205519647039616,746414228,,He,270.78207000000003,16.580887,8367.0,447.0,7.99,-0.09,0.1,0.57,-0.05,0.06,-3.93,0.21,-8.99,0.23,0.98,-0.17,0.2,17.7485,0.0029,17.8016,0.0459
642549544391197440,Gaia DR2 642549544391197440,713109166,,H,151.05194,24.647072,10875.18,114.07,7.99,-0.02,0.02,0.6,-0.01,0.01,,,-6.62,0.06,0.5,-0.02,0.02,16.4716,0.0031,16.5095,0.0459
706974637946866304,KUV 08475+3219,483106101,looks magnetic,He,132.64655,32.134525,12061.0,1042.0,8.11,-0.11,0.12,0.65,-0.07,0.07,-3.34,1.22,-6.32,0.78,0.45,-0.11,0.15,17.1823,0.0029,17.229,0.0459
839750257663742464,Gaia DR2 839750257663742464,42502046,,He,170.14668,52.965121999999994,10472.0,773.0,8.07,-0.12,0.12,0.62,-0.07,0.08,-5.39,0.13,-9.32,0.11,0.61,-0.14,0.18,16.7456,0.0028,16.7849,0.0459
866574493091351936,Gaia DR2 866574493091351936,174504020,,He,113.44079,23.25825,8533.0,395.0,8.08,-0.09,0.09,0.63,-0.05,0.06,-5.52,1.36,-11.01,0.06,1.05,-0.16,0.2,17.4497,0.003,17.5039,0.0459
872911150400146176,Gaia DR2 872911150400146176,32906248,,He,110.47319,27.218231,9836.0,516.0,7.95,-0.09,0.09,0.55,-0.05,0.06,-4.29,0.34,-10.39,0.42,0.61,-0.1,0.13,17.2513,0.0031,17.3047,0.0459
972551088836290816,,632707021,,He,91.295975,52.73847199999999,12723.0,1179.0,7.83,-0.15,0.16,0.49,-0.07,0.09,-4.65,0.11,-9.01,0.17,0.26,-0.07,0.1,17.3113,0.0029,17.3632,0.0459
